title,release_year,age_certification,runtime,language,genres,production_countries,seasons,imdb_score,imdb_votes
Pui Pui Molcar,2021,TV-Y7,2,Japanese,"['animation', 'comedy', 'family']",['JP'],1.0,8.1,335.0
Generation 56K,2021,TV-14,30,Italian,"['comedy', 'drama', 'romance']",['IT'],1.0,7.4,2317.0
Call My Agent Bollywood,2021,TV-MA,45,Hindi,"['drama', 'comedy']",['IN'],1.0,7.4,6162.0
Elite Short Stories: Omar Ander Alexis,2021,TV-MA,12,Spanish,"['drama', 'crime', 'thriller']",['ES'],1.0,7.3,1903.0
"Young, Famous & African",2022,TV-MA,43,English,['reality'],['ZA'],1.0,4.6,354.0
Elite Short Stories: Carla Samuel,2021,TV-MA,14,Spanish,"['drama', 'romance']",['ES'],1.0,6.9,2609.0
Kid Cosmic,2021,TV-Y7,23,N/A,"['action', 'comedy', 'family', 'fantasy', 'scifi', 'animation']",['US'],3.0,7.9,1354.0
Framed! A Sicilian Murder Mystery,2022,TV-MA,31,Italian,"['comedy', 'crime']",['IT'],1.0,6.8,900.0
AlRawabi School for Girls,2021,TV-14,48,Arabic,['drama'],['JO'],1.0,7.4,5708.0
Until Life Do Us Part,2021,TV-MA,41,Portuguese,['drama'],['PT'],1.0,7.4,631.0
50M2,2021,TV-MA,49,Turkish,"['comedy', 'drama', 'thriller', 'crime']",['TR'],1.0,6.9,5516.0
Savage Rhythm,2022,TV-MA,38,Spanish,"['drama', 'music']",['CO'],1.0,6.3,28.0
Coming Out Colton,2021,TV-MA,36,English,['reality'],['US'],1.0,6.7,1087.0
I Am Georgina,2022,TV-14,41,Spanish,['reality'],['ES'],1.0,3.9,2729.0
Angry Birds: Summer Madness,2022,TV-Y7,14,"English, Hindi","['action', 'comedy', 'family', 'fantasy', 'animation']",['US'],1.0,6.3,436.0
The Lost Pirate Kingdom,2021,TV-MA,43,English,"['documentation', 'drama', 'history']",['US'],1.0,6.6,2702.0
