title,release_year,age_certification,runtime,language,genres,production_countries,seasons,imdb_score,imdb_votes
The Irregular at Magic High School,2014,TV-14,24,Japanese,"['scifi', 'romance', 'animation', 'action', 'drama', 'fantasy']",['JP'],2.0,7.1,3273.0
Resurrection: Ertugrul,2014,TV-14,57,"Turkish, Arabic","['war', 'action', 'drama', 'history']",['TR'],5.0,7.9,35515.0
Rabbids Invasion,2013,TV-Y7,10,"French, English","['comedy', 'animation', 'family', 'european']","['FR', 'US']",4.0,5.5,1802.0
The Cat in the Hat Knows a Lot About That!,2013,TV-Y,19,English,"['animation', 'fantasy', 'scifi', 'comedy', 'family']","['US', 'GB', 'CA']",3.0,6.4,620.0
Girlfriends' Guide to Divorce,2014,TV-14,42,English,"['comedy', 'drama']",['US'],5.0,6.9,4523.0
Tiny House Nation,2014,TV-PG,43,English,['reality'],['US'],5.0,7.1,1126.0
Talking Tom and Friends,2014,TV-G,11,English,"['comedy', 'drama', 'family', 'action', 'animation', 'fantasy', 'european']",['US'],5.0,6.1,411.0
Ever After High,2013,TV-Y7,30,English,"['action', 'comedy', 'drama', 'family', 'fantasy', 'music', 'romance', 'animation']",['CA'],5.0,7.7,1130.0
Yowamushi Pedal,2013,TV-14,24,Japanese,"['comedy', 'drama', 'sport', 'animation']",['JP'],4.0,7.7,808.0
Sam & Cat,2013,TV-G,24,English,"['drama', 'family', 'comedy']",['US'],1.0,5.6,9507.0
Young & Hungry,2014,TV-14,21,English,"['comedy', 'drama', 'romance']",['US'],5.0,7.3,15627.0
"Nicky, Ricky, Dicky & Dawn",2014,TV-G,23,English,"['comedy', 'family']",['US'],4.0,5.1,2551.0
The Haunted Hathaways,2013,TV-G,24,English,"['comedy', 'family', 'fantasy']",['US'],2.0,5.0,2471.0
Black Money Love,2014,TV-MA,90,"Turkish, Italian","['action', 'drama', 'romance', 'crime']",['TR'],2.0,7.4,5975.0
Angry Birds Toons,2013,TV-Y,2,None,"['comedy', 'family', 'fantasy', 'animation', 'action', 'european']",['FI'],4.0,6.2,800.0
Mako Mermaids: An H2O Adventure,2013,TV-G,25,English,"['scifi', 'action', 'comedy', 'drama', 'family', 'fantasy', 'romance']",['AU'],4.0,6.7,3924.0
Lalaloopsy,2013,TV-Y,23,English,['animation'],['US'],3.0,6.4,104.0
Senora Acero,2014,TV-MA,43,"Spanish, English","['crime', 'drama', 'romance']",['US'],5.0,6.8,375.0
Pac-Man and the Ghostly Adventures,2013,TV-Y7,22,"English, Japanese, Spanish","['action', 'animation', 'comedy', 'drama', 'family', 'fantasy', 'scifi']","['US', 'CA', 'JP']",3.0,4.8,635.0
Zbrodnia,2014,TV-MA,45,"Polish, Hungarian, Czech, Romanian","['crime', 'action']",['PL'],2.0,6.2,660.0
Black Ink Crew New York,2013,TV-14,41,English,['reality'],['US'],9.0,4.6,459.0
Nagi-Asu: A Lull in the Sea,2013,TV-14,23,Japanese,"['scifi', 'animation', 'drama', 'fantasy', 'romance']",['JP'],2.0,7.3,1152.0
VeggieTales in the House,2014,TV-G,18,N/A,"['comedy', 'family', 'music', 'animation']",['US'],4.0,4.3,300.0
20 Minutes,2013,TV-MA,45,Turkish,"['action', 'drama', 'romance']",['TR'],1.0,7.3,1681.0
Dokidoki! PreCure,2013,TV-G,23,Japanese,"['action', 'animation', 'comedy', 'drama', 'fantasy', 'family']",['JP'],2.0,6.3,188.0
Masha's Spooky Stories,2014,TV-Y,5,Russian,"['animation', 'family']",['RU'],1.0,6.1,65.0
All Hail King Julien,2014,TV-Y7,23,English,"['action', 'comedy', 'family', 'fantasy', 'animation']",['US'],5.0,7.0,2008.0
Some Assembly Required,2014,TV-G,25,English,"['comedy', 'documentation', 'reality']",['CA'],4.0,8.5,22.0
Incomplete Life,2014,TV-14,73,"Korean, English","['drama', 'comedy']",['KR'],1.0,8.6,1883.0
"That Winter, the Wind Blows",2013,TV-MA,63,Korean,['drama'],['KR'],1.0,7.6,1803.0
Dharmakshetra,2014,TV-14,44,Hindi,['drama'],['IN'],1.0,8.2,247.0
Against the Tide,2014,TV-14,44,Mandarin,['drama'],['SG'],1.0,7.6,11.0
Turbo FAST,2013,TV-PG,19,English,"['animation', 'family', 'comedy', 'sport', 'scifi', 'action']",['US'],3.0,6.5,593.0
Sammy & Co,2014,TV-PG,14,French,"['animation', 'european']",['US'],2.0,5.6,30.0
Boss & Me,2014,TV-PG,45,Chinese,"['comedy', 'romance']",['CN'],1.0,7.3,424.0
Two Fathers,2013,TV-14,44,Mandarin,"['comedy', 'drama']",['TW'],1.0,8.0,54.0
Mystic Whispers,2014,TV-14,26,Chinese,"['comedy', 'romance']",['SG'],1.0,6.9,17.0
Better Call Saul,2015,TV-MA,49,"English, Spanish, Vietnamese","['comedy', 'drama', 'crime']",['US'],6.0,8.8,404920.0
The Last Kingdom,2015,TV-MA,55,"English, Latin","['action', 'war', 'drama', 'history', 'european']",['GB'],5.0,8.5,126473.0
Stranger Things,2016,TV-14,52,N/A,"['scifi', 'drama', 'fantasy', 'horror', 'thriller']",['US'],5.0,8.7,989090.0
Schitt's Creek,2015,TV-14,22,English,['comedy'],['CA'],6.0,8.5,112537.0
Alone,2015,TV-MA,48,English,"['reality', 'documentation']",['US'],8.0,8.4,4622.0
Grace and Frankie,2015,TV-MA,30,English,"['comedy', 'drama']",['US'],7.0,8.2,48435.0
The Good Place,2016,TV-14,23,English,"['scifi', 'comedy', 'romance', 'drama', 'fantasy']",['US'],4.0,8.2,148562.0
Ash vs Evil Dead,2015,TV-MA,30,English,"['action', 'scifi', 'comedy', 'horror', 'fantasy', 'thriller']",['US'],3.0,8.4,70087.0
One-Punch Man,2015,TV-PG,24,"Japanese, English","['action', 'fantasy', 'scifi', 'animation', 'comedy']",['JP'],2.0,8.7,148386.0
Chicago Med,2015,TV-14,41,English,['drama'],['US'],8.0,7.6,24142.0
Queen of the South,2016,TV-MA,42,English,"['drama', 'thriller', 'action', 'crime']",['US'],5.0,7.9,28537.0
The Crown,2016,TV-MA,56,English,"['drama', 'history', 'european']","['US', 'GB']",5.0,8.7,190878.0
Call My Agent!,2015,TV-MA,55,French,"['comedy', 'drama', 'european']",['FR'],4.0,8.3,13331.0
Servant of the People,2015,TV-MA,29,"Russian, Ukrainian",['comedy'],['UA'],3.0,7.3,2706.0
Documentary Now!,2015,TV-14,22,English,['comedy'],['US'],4.0,8.1,6445.0
Forged in Fire,2015,TV-PG,42,English,['reality'],['US'],9.0,8.3,3538.0
Van Helsing,2016,TV-14,42,English,"['scifi', 'fantasy', 'horror', 'action', 'drama']",['US'],5.0,6.1,21852.0
Food Wars! Shokugeki no Soma,2015,TV-MA,24,English,"['animation', 'comedy', 'drama', 'fantasy', 'thriller']",['JP'],5.0,8.2,9651.0
Lucifer,2016,TV-14,47,English,"['scifi', 'crime', 'drama', 'fantasy']",['US'],6.0,8.1,308291.0
DC's Legends of Tomorrow,2016,TV-14,42,"English, Egyptian (Ancient), Russian, Latin, Arabic, Japanese","['scifi', 'action', 'drama']",['US'],7.0,6.8,101178.0
The Magicians,2015,TV-14,44,English,"['drama', 'scifi', 'fantasy']",['US'],5.0,7.6,49557.0
The OA,2016,TV-MA,55,English,"['scifi', 'drama', 'fantasy']",['US'],2.0,7.9,100911.0
Kim's Convenience,2016,TV-14,22,English,['comedy'],['CA'],5.0,8.3,16970.0
Sense8,2015,TV-MA,62,English,"['scifi', 'thriller', 'drama']",['US'],2.0,8.2,151518.0
Crashing,2016,TV-MA,30,English,"['comedy', 'european']",['GB'],1.0,7.7,18546.0
Norsemen,2016,TV-MA,30,"Norwegian, English","['comedy', 'drama']",['NO'],3.0,7.7,18040.0
Bloodline,2015,TV-MA,57,English,"['drama', 'thriller']",['US'],3.0,7.9,50028.0
Slasher,2016,TV-MA,46,N/A,"['drama', 'horror', 'thriller', 'crime']",['CA'],4.0,6.7,14071.0
Travelers,2016,TV-MA,45,English,"['scifi', 'drama', 'thriller', 'crime']",['CA'],3.0,8.0,54566.0
Narcos,2015,TV-MA,52,"English, Spanish","['drama', 'thriller', 'crime']",['US'],3.0,8.8,404486.0
Miraculous: Tales of Ladybug & Cat Noir,2015,TV-Y7,22,"Urdu, Hindi, French, Korean, English","['family', 'fantasy', 'romance', 'animation', 'action']",['FR'],4.0,7.7,10102.0
Designated Survivor,2016,TV-PG,44,English,"['war', 'action', 'drama', 'thriller']",['US'],3.0,7.5,88019.0
Leah Remini: Scientology and the Aftermath,2016,TV-14,46,English,"['documentation', 'history']",['US'],3.0,9.0,5761.0
Into the Badlands,2015,TV-14,43,English,"['action', 'drama']",['US'],3.0,7.9,45628.0
iZombie,2015,TV-14,42,English,"['scifi', 'comedy', 'crime', 'drama', 'horror']",['US'],5.0,7.8,66488.0
Wynonna Earp,2016,TV-14,43,English,"['action', 'scifi', 'western', 'drama', 'fantasy', 'thriller']","['US', 'CA']",4.0,7.3,22256.0
Dark Matter,2015,TV-14,43,N/A,"['scifi', 'drama', 'thriller', 'action']",['CA'],3.0,7.5,41867.0
Scream: The TV Series,2015,TV-14,43,English,"['crime', 'horror', 'thriller', 'comedy', 'drama']",['US'],3.0,7.1,40082.0
Versailles,2015,TV-MA,54,"Latin, Spanish, French, English","['drama', 'history', 'romance', 'war', 'documentation', 'comedy', 'european']","['CA', 'FR']",3.0,7.9,16273.0
60 Days In,2016,TV-14,46,Swedish,['reality'],['US'],6.0,7.6,2616.0
Supergirl,2015,TV-14,42,English,"['scifi', 'drama', 'action']",['US'],6.0,6.2,121939.0
Crazy Ex-Girlfriend,2015,TV-14,42,English,['comedy'],['US'],4.0,7.8,19738.0
Medici: Masters of Florence,2016,TV-14,54,English,"['war', 'drama', 'history', 'romance', 'thriller', 'european']","['GB', 'IT']",3.0,7.9,18575.0
PJ Masks,2015,TV-G,15,"French, English, Spanish","['animation', 'family', 'fantasy', 'scifi', 'action', 'european']",['GB'],5.0,5.4,1214.0
Marcella,2016,TV-MA,45,English,"['crime', 'drama', 'european']",['GB'],3.0,7.4,30373.0
Bordertown,2016,TV-MA,59,"Finnish, Russian, English","['drama', 'crime', 'european']",['FI'],3.0,7.6,10371.0
Fauda,2015,TV-MA,40,"Hebrew, Arabic","['war', 'thriller', 'action', 'drama']",['IL'],3.0,8.3,25239.0
El marginal,2016,TV-MA,54,Spanish,"['crime', 'drama', 'action', 'thriller']",['AR'],5.0,8.2,3799.0
Frontier,2016,TV-MA,46,"English, Cree, Portuguese","['action', 'drama', 'history']",['CA'],3.0,7.1,20706.0
The Cuba Libre Story,2015,TV-14,45,"German, English, Spanish, French, Russian","['documentation', 'history', 'european']",['DE'],2.0,7.6,1583.0
ERASED,2016,TV-14,22,Japanese,"['drama', 'animation', 'fantasy', 'scifi', 'thriller']",['JP'],1.0,8.5,42699.0
Flowers,2016,TV-14,25,English,"['drama', 'comedy', 'european']",['GB'],2.0,8.1,5468.0
Love,2016,TV-MA,32,English,"['drama', 'comedy', 'romance']",['US'],3.0,7.7,41362.0
Good Witch,2015,TV-G,43,English,"['scifi', 'comedy', 'drama', 'fantasy']",['US'],7.0,7.2,10392.0
The Ranch,2016,TV-MA,30,English,"['comedy', 'drama', 'western']",['US'],5.0,7.4,37890.0
Wet Hot American Summer: First Day of Camp,2015,TV-MA,30,N/A,['comedy'],['US'],2.0,7.4,23674.0
Shooter,2016,TV-14,41,English,"['war', 'drama', 'action']",['US'],3.0,7.5,35547.0
Hap and Leonard,2016,TV-MA,42,English,"['action', 'drama', 'crime', 'thriller']",['US'],3.0,7.6,7577.0
Glitch,2015,TV-MA,52,"English, Italian","['scifi', 'drama', 'horror', 'thriller']",['AU'],3.0,7.3,17240.0
Occupied,2015,TV-MA,45,"Norwegian, English, Russian","['war', 'thriller', 'drama']",['NO'],3.0,7.7,8839.0
Master of None,2015,TV-MA,32,English,"['drama', 'comedy']",['US'],3.0,8.3,72341.0
Unbreakable Kimmy Schmidt,2015,TV-14,30,English,"['comedy', 'drama']",['US'],4.0,7.6,70242.0
Secret City,2016,TV-MA,50,"English, Mandarin","['war', 'thriller']",['AU'],3.0,7.4,7831.0
Fuller House,2016,TV-Y7,27,English,"['comedy', 'family']",['US'],5.0,6.7,27148.0
Easy,2016,TV-MA,30,English,"['drama', 'comedy']",['US'],3.0,6.9,13569.0
3%,2016,TV-MA,45,Portuguese,"['scifi', 'action', 'drama', 'thriller']",['BR'],4.0,7.3,25077.0
Making a Murderer,2015,TV-14,62,English,"['crime', 'documentation']",['US'],2.0,8.6,93456.0
BUNK'D,2015,TV-G,24,English,"['comedy', 'family', 'drama']",['US'],5.0,5.3,3174.0
Quantico,2015,TV-14,43,English,"['drama', 'thriller', 'crime']",['US'],3.0,6.6,60305.0
F is for Family,2015,TV-MA,28,English,"['comedy', 'animation', 'drama']",['US'],5.0,8.0,36050.0
Locked Up,2015,TV-MA,50,Spanish,"['drama', 'thriller', 'action', 'comedy', 'european']",['ES'],4.0,8.2,21388.0
Zoo,2015,TV-14,43,English,"['drama', 'thriller', 'scifi']",['US'],3.0,6.6,24479.0
Ajin,2016,TV-MA,24,Japanese,"['action', 'animation', 'drama', 'fantasy', 'thriller', 'horror', 'scifi']",['JP'],2.0,7.6,6121.0
Frequency,2016,TV-14,18,English,"['scifi', 'fantasy', 'thriller', 'drama']",['US'],3.0,7.5,13625.0
Wanted,2016,TV-14,45,English,"['drama', 'action', 'crime']",['AU'],3.0,7.6,5693.0
Aquarius,2015,TV-14,43,English,"['drama', 'crime', 'thriller', 'european']",['US'],2.0,7.1,12112.0
Roman Empire,2016,TV-14,48,English,"['drama', 'history', 'war', 'documentation']",['US'],3.0,7.0,7539.0
Degrassi: Next Class,2016,TV-PG,24,English,"['drama', 'romance']",['CA'],6.0,6.8,3205.0
The Disastrous Life of Saiki K.,2016,TV-14,10,"Japanese, English","['scifi', 'comedy', 'animation', 'fantasy']",['JP'],3.0,8.4,6649.0
Mobile Suit Gundam: Iron-Blooded Orphans,2015,TV-MA,24,Japanese,"['scifi', 'war', 'action', 'drama', 'animation']",['JP'],2.0,7.9,1623.0
Chef's Table,2015,TV-MA,50,English,['documentation'],['US'],7.0,8.5,15176.0
Trollhunters: Tales of Arcadia,2016,TV-Y7,22,English,"['action', 'scifi', 'fantasy', 'animation', 'comedy', 'drama', 'family']",['US'],3.0,8.4,16509.0
March Comes in Like a Lion,2016,TV-PG,25,Japanese,"['drama', 'animation', 'comedy', 'romance']",['JP'],2.0,8.4,2586.0
God Eater,2015,TV-14,23,Japanese,"['scifi', 'animation', 'action']",['JP'],1.0,7.0,1911.0
Gilmore Girls: A Year in the Life,2016,TV-14,92,English,"['comedy', 'drama']",['US'],1.0,7.6,36359.0
Rebellion,2016,TV-14,51,"English, Irish Gaelic","['war', 'drama', 'history', 'european']","['GB', 'IE']",2.0,7.1,3658.0
The Windsors,2016,TV-MA,27,English,['comedy'],['GB'],3.0,7.1,2648.0
Hip Hop Evolution,2016,TV-MA,48,N/A,"['documentation', 'music']",['CA'],4.0,8.4,5772.0
The Get Down,2016,TV-MA,62,English,"['drama', 'music']",['US'],2.0,8.2,22304.0
Dragons: Race to the Edge,2015,TV-Y7,22,English,"['animation', 'action', 'scifi', 'family', 'comedy', 'drama', 'fantasy']",['US'],6.0,8.2,6161.0
Flaked,2016,TV-MA,32,English,"['drama', 'romance', 'comedy']",['US'],2.0,7.2,11264.0
A Very Secret Service,2015,TV-MA,27,French,"['comedy', 'european']",['FR'],2.0,7.7,3461.0
Voltron: Legendary Defender,2016,TV-Y7,24,"English, Italian","['action', 'scifi', 'animation', 'comedy', 'drama', 'family', 'fantasy']",['US'],8.0,8.1,8706.0
Transformers: Robots In Disguise,2015,TV-Y7,21,English,"['scifi', 'animation', 'action', 'comedy']",['US'],5.0,6.0,1048.0
Lady Dynamite,2016,TV-MA,30,English,"['comedy', 'drama']",['US'],2.0,7.3,3655.0
No Tomorrow,2016,TV-14,47,Japanese,"['comedy', 'drama', 'romance', 'thriller']",['US'],1.0,7.3,5101.0
Greenleaf,2016,TV-MA,42,English,['drama'],['US'],5.0,7.3,5158.0
Grizzy & the Lemmings,2016,TV-Y7,7,French,"['comedy', 'animation', 'family', 'european']",['FR'],3.0,7.1,579.0
Zumbo's Just Desserts,2016,TV-14,52,English,['reality'],['AU'],2.0,6.9,2125.0
Sinatra: All or Nothing at All,2015,TV-14,122,English,"['documentation', 'music']",['US'],1.0,8.0,2354.0
The Adventures of Puss in Boots,2015,TV-Y7,23,English,"['family', 'animation', 'comedy', 'fantasy', 'western', 'action']",['US'],6.0,6.6,1696.0
Last Chance U,2016,TV-MA,55,English,"['documentation', 'sport']",['US'],5.0,8.4,6789.0
Molang,2015,TV-G,3,"English, French, Greek, None","['animation', 'comedy', 'family', 'european']",['FR'],3.0,8.4,346.0
Signal,2016,TV-MA,71,Korean,"['crime', 'scifi', 'thriller', 'drama', 'fantasy']",['KR'],2.0,8.6,6338.0
Between,2015,TV-14,25,N/A,"['scifi', 'drama', 'thriller']",['CA'],2.0,6.0,9059.0
Midnight Diner: Tokyo Stories,2016,TV-14,28,Japanese,['drama'],['JP'],2.0,8.4,4109.0
Reply 1988,2015,TV-14,95,Korean,"['comedy', 'drama', 'family', 'romance']",['KR'],1.0,9.2,6557.0
Sunny Bunnies,2015,TV-Y,3,N/A,"['animation', 'family']",['BY'],4.0,6.6,95.0
Cinderella and Four Knights,2016,TV-PG,61,Korean,"['comedy', 'drama', 'romance']",['KR'],1.0,7.5,3663.0
Simon,2016,TV-Y,5,"English, French","['animation', 'comedy', 'family']",['FR'],2.0,7.0,127.0
Conspiracy,2015,TV-14,43,English,"['documentation', 'history', 'european']",['GB'],1.0,6.2,367.0
Spotless,2015,TV-MA,58,N/A,"['drama', 'comedy', 'crime', 'european']",['FR'],1.0,7.7,3635.0
Club de Cuervos,2015,TV-MA,44,Spanish,"['comedy', 'drama']",['MX'],4.0,8.2,5514.0
Little Things,2016,TV-MA,25,"Hindi, English","['comedy', 'drama', 'romance']",['IN'],4.0,8.2,6461.0
Care Bears and Cousins,2015,TV-Y,23,English,['animation'],['US'],2.0,6.8,82.0
Kuromukuro,2016,TV-14,24,Japanese,"['comedy', 'drama', 'action', 'scifi', 'animation']",['JP'],2.0,7.2,1265.0
Marseille,2016,TV-MA,46,French,"['drama', 'european']",['FR'],2.0,6.9,5083.0
Puffin Rock,2015,TV-Y,11,English,"['animation', 'family', 'comedy', 'european']",['IE'],2.0,8.7,891.0
Chef's Table: France,2016,TV-14,60,French,['documentation'],['US'],1.0,8.2,1723.0
The Method,2015,TV-MA,51,Russian,"['drama', 'thriller', 'crime']",['RU'],2.0,7.4,2784.0
Skylanders Academy,2016,TV-Y7,23,"English, Spanish, German, French, Mandarin, Korean","['action', 'animation', 'comedy', 'family', 'fantasy']",['US'],3.0,6.7,730.0
"Can't Cope, Won't Cope",2016,TV-MA,23,English,"['drama', 'comedy', 'european']",['IE'],2.0,7.3,880.0
Lego Bionicle: The Journey to One,2016,TV-Y7,17,English,"['animation', 'action', 'fantasy', 'scifi']",['US'],2.0,5.5,170.0
Inspector Gadget,2015,TV-Y,21,English,"['action', 'comedy', 'family', 'scifi', 'animation']","['CA', 'US']",4.0,4.5,614.0
Heidi,2015,TV-Y,27,"English, French, German, Italian","['drama', 'family', 'animation', 'european']","['DE', 'AU', 'FR']",2.0,7.2,234.0
Haters Back Off,2016,TV-14,30,English,"['comedy', 'drama', 'family', 'romance']",['US'],2.0,6.1,7183.0
Intersection,2016,TV-MA,97,Turkish,['drama'],['TR'],2.0,6.7,1152.0
Terrace House: Boys & Girls in the City,2015,TV-14,29,Japanese,"['reality', 'drama']",['JP'],1.0,8.1,1624.0
The K2,2016,TV-14,65,Swedish,"['war', 'drama', 'romance', 'thriller']",['KR'],1.0,7.9,5615.0
Dinotrux,2015,TV-Y7,23,"English, French","['action', 'comedy', 'family', 'animation']",['US'],5.0,6.8,458.0
"Hello, My Twenties!",2016,TV-14,63,Korean,"['comedy', 'drama', 'romance']",['KR'],2.0,8.3,2127.0
Dawn of the Croods,2015,TV-Y7,23,English,"['comedy', 'family', 'animation']",['US'],4.0,5.8,712.0
Kong: King of the Apes,2016,TV-Y7,21,"English, Spanish, French, German, Mandarin","['animation', 'scifi', 'action', 'comedy', 'family']",['US'],2.0,5.9,325.0
Bella and the Bulldogs,2015,TV-G,23,English,"['comedy', 'family', 'sport']",['US'],2.0,5.0,2114.0
Unnatural Selection,2015,TV-MA,35,English,"['reality', 'documentation', 'comedy']",['US'],1.0,8.1,12.0
Sin senos sí hay paraíso,2016,TV-MA,47,Spanish,"['action', 'drama', 'romance', 'crime']",['CO'],4.0,6.5,546.0
Cooked,2016,TV-PG,53,English,['documentation'],['US'],1.0,7.6,43.0
Mossad 101,2015,TV-MA,42,Hebrew,"['action', 'drama']",['IL'],2.0,6.8,632.0
Secrets of Great British Castles,2015,TV-PG,51,English,"['documentation', 'history', 'european']",['GB'],2.0,7.8,1031.0
Netflix Presents: The Characters,2016,TV-MA,31,English,['comedy'],['US'],1.0,5.3,835.0
Project Mc²,2015,TV-G,24,English,['family'],['US'],6.0,6.1,985.0
El Chema,2016,TV-MA,44,Spanish,"['drama', 'action', 'crime']",['US'],1.0,6.9,303.0
Tokyo Trial,2016,TV-MA,49,N/A,"['drama', 'history']","['JP', 'US']",1.0,7.4,1544.0
Love O2O,2016,TV-14,45,N/A,"['drama', 'romance']",['CN'],1.0,8.0,2322.0
Good Morning Call,2016,TV-14,48,Japanese,"['comedy', 'drama', 'romance']",['JP'],2.0,7.7,3088.0
Inside the World's Toughest Prisons,2016,TV-MA,48,N/A,"['crime', 'documentation']",['GB'],5.0,7.1,2747.0
Beat Bugs,2016,TV-Y,15,English,"['animation', 'family', 'fantasy', 'comedy']",['AU'],3.0,7.6,522.0
Another Miss Oh,2016,TV-MA,69,Korean,"['drama', 'fantasy', 'romance', 'comedy']",['KR'],1.0,7.9,1769.0
T@gged,2016,TV-14,22,English,"['drama', 'thriller', 'reality']",['US'],3.0,7.3,2012.0
The Deep,2015,TV-Y7,22,French,"['action', 'animation', 'family', 'scifi']",['AU'],3.0,8.1,645.0
La Niña,2016,TV-MA,45,Spanish,"['action', 'drama']",['CO'],1.0,8.3,642.0
Ask the Storybots,2016,TV-Y,26,English,"['animation', 'comedy', 'family']",['US'],3.0,8.4,870.0
La esclava blanca,2016,TV-MA,41,Spanish,['history'],['CO'],1.0,8.1,575.0
World of Winx,2016,TV-Y7,23,English,"['action', 'animation', 'comedy', 'family', 'fantasy', 'european']","['US', 'IT']",2.0,6.6,715.0
Richie Rich,2015,TV-PG,22,N/A,['comedy'],['US'],2.0,3.1,1041.0
LEGO Friends: The Power of Friendship,2016,TV-Y,23,"Danish, English, Mandarin, German, Spanish, French",['animation'],['US'],2.0,6.5,49.0
The Good Cop,2015,TV-MA,30,Hebrew,"['comedy', 'drama']",['IL'],3.0,7.7,370.0
One More Time,2016,TV-14,31,Korean,"['scifi', 'drama', 'fantasy']",['KR'],1.0,6.9,564.0
My Runway,2016,TV-14,25,Korean,"['comedy', 'drama', 'fantasy', 'romance']",['KR'],1.0,6.3,261.0
Dear My Friends,2016,TV-MA,70,N/A,"['drama', 'comedy']",['KR'],1.0,8.2,355.0
Toon,2016,TV-MA,27,Dutch,['comedy'],['NL'],2.0,7.6,890.0
The Paper,2016,TV-MA,48,Danish,"['drama', 'crime', 'action']",['HR'],3.0,7.4,64.0
H20: Mermaid Adventures,2015,TV-Y,24,"German, English","['comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'european']",['FR'],2.0,5.7,182.0
Stories by Rabindranath Tagore,2015,TV-PG,43,"Hindi, Bengali",['drama'],['IN'],1.0,8.8,1295.0
The Haunted House,2016,TV-PG,25,Korean,"['thriller', 'fantasy', 'horror', 'animation', 'comedy', 'drama', 'family']",['KR'],7.0,8.4,71.0
Cheer Squad,2016,TV-PG,42,English,['reality'],['CA'],1.0,7.2,166.0
72 Dangerous Places to Live,2016,TV-PG,49,English,['documentation'],['AU'],1.0,6.2,344.0
Nightmare Teacher,2016,TV-MA,16,Korean,"['drama', 'horror', 'thriller']",['KR'],1.0,7.1,423.0
Три кота,2015,TV-Y,5,"Russian, English","['scifi', 'comedy', 'family', 'animation']",['RU'],3.0,6.8,95.0
Old Money,2015,TV-MA,47,German,"['comedy', 'drama', 'european']",['AT'],1.0,7.3,493.0
Rainbow Ruby,2016,TV-Y,11,Spanish,"['animation', 'comedy', 'family', 'fantasy']",['CN'],4.0,6.5,77.0
Atelier,2015,TV-14,69,Bulgarian,"['drama', 'documentation', 'comedy']",['JP'],1.0,6.3,7.0
The Truth Seekers,2016,TV-MA,44,Chinese,"['drama', 'action']",['SG'],1.0,7.1,16.0
Chelsea,2016,TV-MA,57,English,['comedy'],['US'],2.0,6.1,2051.0
Home: Adventures with Tip & Oh,2016,TV-Y7,21,English,"['comedy', 'family', 'fantasy', 'scifi', 'animation']",['US'],4.0,5.9,603.0
White Rabbit Project,2016,TV-PG,48,English,['reality'],['US'],1.0,6.9,1665.0
Witch Hunt: A Century of Murder,2015,TV-14,46,English,"['crime', 'history', 'fantasy', 'drama', 'european']",['GB'],1.0,7.2,319.0
The Princess Weiyoung,2016,TV-14,45,N/A,"['drama', 'history', 'romance']",['CN'],1.0,7.9,767.0
Mind Game,2015,TV-14,44,Chinese,"['drama', 'action', 'crime']","['JP', 'US']",1.0,7.5,12.0
Chelsea Does,2016,TV-MA,60,English,['documentation'],['US'],1.0,7.3,2471.0
Real Rob,2015,TV-14,31,English,['comedy'],['US'],2.0,6.4,2801.0
StoryBots Super Songs,2016,TV-Y,21,English,"['animation', 'family']",['US'],1.0,8.8,167.0
Miss in Kiss,2016,TV-14,36,"Min Nan, Mandarin","['comedy', 'drama']",['TW'],1.0,7.7,98.0
Coach Snoop,2016,TV-MA,29,English,['documentation'],['US'],2.0,6.8,583.0
Word Party,2016,TV-Y,20,English,"['animation', 'family']",['US'],5.0,5.7,349.0
Trailer Park Boys: Out of the Park: Europe,2016,TV-MA,30,English,"['action', 'crime', 'drama', 'comedy']",['CA'],2.0,7.0,2285.0
My Sunshine,2015,TV-PG,45,"Chinese, English","['drama', 'romance']",['CN'],1.0,6.6,185.0
A Touch of Green,2015,TV-MA,46,Mandarin,"['family', 'drama', 'war']",['TW'],1.0,8.4,314.0
28 Faces of the Moon,2016,TV-14,18,Korean,['drama'],['KR'],1.0,6.4,25.0
The Creative Indians,2016,TV-MA,28,English,['documentation'],['US'],4.0,8.3,45.0
Bottersnikes & Gumbles,2016,TV-Y7,13,"English, French, German, Mandarin, Spanish","['action', 'animation', 'comedy', 'family']","['AU', 'US', 'GB']",4.0,5.1,47.0
Fangbone!,2016,TV-PG,22,English,"['animation', 'comedy', 'family', 'fantasy', 'action']",['CA'],1.0,6.2,312.0
Chasing Cameron,2016,TV-PG,28,English,['reality'],['US'],1.0,3.8,501.0
Spark,2016,TV-14,13,Korean,['drama'],['KR'],5.0,7.0,57.0
Under the Black Moonlight,2016,TV-14,10,Korean,"['drama', 'thriller', 'horror']",['KR'],1.0,5.0,56.0
Close Your Eyes Before It's Dark,2016,TV-14,84,Mandarin,"['drama', 'crime']",['TW'],1.0,7.0,218.0
Best Lover,2016,TV-14,45,N/A,"['drama', 'romance']",['CN'],1.0,6.8,74.0
Luna Petunia,2016,TV-Y,24,English,"['animation', 'family', 'fantasy']",['CA'],3.0,6.2,58.0
The Miracle,2016,TV-14,18,Korean,"['drama', 'comedy', 'fantasy', 'music']",['KR'],1.0,6.3,210.0
The Dream Job,2016,TV-14,44,Chinese,"['drama', 'family']",['SG'],1.0,6.1,14.0
Vanished 46,2016,TV-MA,61,Turkish,"['scifi', 'action', 'crime', 'drama', 'thriller']",['TR'],1.0,8.4,4269.0
