title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,Language
Taarak Mehta Kka Chhota Chashmah,SHOW,2021,TV-Y,22,"['animation', 'comedy']",['IN'],1.0,tt14438518,6.8,74.0,Hindi
"Vendetta: Truth, Lies and The Mafia",SHOW,2021,TV-MA,39,"['documentation', 'crime', 'thriller']",[],1.0,tt14216574,6.7,232.0,"English, Italian"
Crime Stories: India Detectives,SHOW,2021,TV-MA,52,"['documentation', 'crime']",['IN'],1.0,tt14178956,7.2,934.0,Kannada
The World's Most Amazing Vacation Rentals,SHOW,2021,TV-PG,35,['reality'],['US'],2.0,tt14691382,6.7,1278.0,English
The Hungry and the Hairy,SHOW,2021,TV-14,63,['reality'],['KR'],1.0,tt16088530,7.5,218.0,Korean
Somos.,SHOW,2021,TV-MA,47,"['drama', 'history', 'crime']",['MX'],1.0,tt14719590,7.1,1108.0,Spanish
Racket Boys,SHOW,2021,TV-14,70,"['comedy', 'family', 'drama', 'sport']",['KR'],1.0,tt14482414,1.8,27484.0,Korean
Decoupled,SHOW,2021,TV-MA,30,"['comedy', 'drama']",['IN'],1.0,tt14167338,8.0,6379.0,"English, Hindi"
Rebelde,SHOW,2022,TV-MA,39,"['drama', 'comedy', 'music', 'romance', 'family']",['MX'],2.0,tt14153686,6.2,2122.0,Spanish
Karma's World,SHOW,2021,TV-Y,11,"['animation', 'comedy', 'family']",['US'],2.0,tt13321232,6.2,134.0,"English, Spanish"
"Fresh, Fried & Crispy",SHOW,2021,TV-PG,25,"['documentation', 'reality']",['US'],1.0,tt14644428,6.2,603.0,English
Remember You,SHOW,2021,TV-MA,67,"['action', 'crime', 'drama', 'romance']",['TH'],1.0,tt15344082,7.4,65.0,Thai
The Fastest,SHOW,2021,TV-PG,35,['reality'],[],1.0,tt15779034,5.7,76.0,N/A
Scaredy Cats,SHOW,2021,TV-G,26,"['scifi', 'family', 'fantasy', 'comedy']",['US'],1.0,tt15387774,6.2,338.0,English
We the People,SHOW,2021,TV-Y7,5,"['family', 'music', 'animation', 'comedy']",['US'],1.0,tt14770480,3.4,674.0,English
My Love: Six Stories of True Love,SHOW,2021,TV-PG,70,"['reality', 'romance', 'documentation']",['US'],1.0,tt14267526,7.5,281.0,"Portuguese, Japanese, English, Marathi, Spanish"
The War Next-door,SHOW,2021,TV-MA,32,['comedy'],['MX'],1.0,tt14821886,5.6,373.0,Spanish
Marriage or Mortgage,SHOW,2021,TV-G,40,['reality'],['US'],1.0,tt14037542,5.1,433.0,English
The Future Diary,SHOW,2021,TV-PG,33,"['reality', 'romance']",['JP'],2.0,tt15567380,7.9,97.0,Japanese
Race: Bubba Wallace,SHOW,2022,TV-MA,47,"['documentation', 'sport']",['US'],1.0,tt14513646,5.9,402.0,English
The Wedding Coach,SHOW,2021,TV-MA,32,"['comedy', 'reality']",['US'],1.0,tt14210424,4.9,85.0,English
Haunted: Latin America,SHOW,2021,TV-14,33,"['reality', 'horror']","['FR', 'IT']",1.0,tt14164238,5.3,572.0,Spanish
Pet Stars,SHOW,2021,TV-PG,27,"['reality', 'family']",['US'],1.0,tt14318392,4.9,117.0,English
Dive Club,SHOW,2021,TV-PG,0,"['drama', 'family']",['AU'],1.0,tt13275052,6.2,789.0,English
Elize Matsunaga: Once Upon a Crime,SHOW,2021,TV-MA,49,"['crime', 'documentation']",['BR'],1.0,tt14856998,5.9,2088.0,Portuguese
"Nevenka, Breaking The Silence",SHOW,2021,TV-14,38,"['documentation', 'crime']",['ES'],1.0,tt14091172,6.9,658.0,Spanish
